,school,conference,position,height
1385,Pepperdine University,West Coast Conference,F,5-11
1386,Pepperdine University,West Coast Conference,F,6-2
1387,Pepperdine University,West Coast Conference,G,5-8
1388,Pepperdine University,West Coast Conference,G,5-8
1389,Pepperdine University,West Coast Conference,C,6-3
1390,Pepperdine University,West Coast Conference,F,6-0
1391,Pepperdine University,West Coast Conference,G,5-11
1392,Pepperdine University,West Coast Conference,G,5-9
1393,Pepperdine University,West Coast Conference,G,5-8
1394,Penn State University,Big Ten Conference,C,6-6
1395,Penn State University,Big Ten Conference,G,5-9
1396,Penn State University,Big Ten Conference,C,6-4
1397,Penn State University,Big Ten Conference,G,6-1
1398,Penn State University,Big Ten Conference,,-
1399,Penn State University,Big Ten Conference,F,6-3
1400,Penn State University,Big Ten Conference,G,6-2
1401,Penn State University,Big Ten Conference,G,5-11
1402,Penn State University,Big Ten Conference,G,5-7
1403,Penn State University,Big Ten Conference,G,5-6
1404,Penn State University,Big Ten Conference,F,6-5
1405,Penn State University,Big Ten Conference,G,6-3
1406,University of Pennsylvania,The Ivy League,F,6-1
1407,University of Pennsylvania,The Ivy League,F,6-1
1408,University of Pennsylvania,The Ivy League,G,5-8
1409,University of Pennsylvania,The Ivy League,G,5-9
1410,University of Pennsylvania,The Ivy League,G,5-7
1411,University of Pennsylvania,The Ivy League,F,6-0
1412,University of Pennsylvania,The Ivy League,F,6-1
1413,University of Pennsylvania,The Ivy League,G,5-9
1414,University of Pennsylvania,The Ivy League,G,5-7
1415,University of Pennsylvania,The Ivy League,F,6-3
1416,University of Pennsylvania,The Ivy League,G,5-9
1417,University of Pennsylvania,The Ivy League,G,5-11
1418,University of Pennsylvania,The Ivy League,G,5-9
1419,University of Pennsylvania,The Ivy League,C,6-3
1420,University of Pennsylvania,The Ivy League,G,5-11
1421,University of the Pacific,West Coast Conference,F,5-10
1422,University of the Pacific,West Coast Conference,G,5-10
1423,University of the Pacific,West Coast Conference,G,5-9
1424,University of the Pacific,West Coast Conference,G,5-9
1425,University of the Pacific,West Coast Conference,G,5-11
1426,University of the Pacific,West Coast Conference,F,6-1
1427,University of the Pacific,West Coast Conference,G,5-5
1428,University of the Pacific,West Coast Conference,G,5-9
1429,University of the Pacific,West Coast Conference,F,6-2
1430,University of the Pacific,West Coast Conference,G,5-9
1431,University of the Pacific,West Coast Conference,G,5-8
1432,University of the Pacific,West Coast Conference,G,5-10
1433,University of the Pacific,West Coast Conference,G,5-10
1434,Rutgers University,American Athletic Conference,G,5-8
1435,Rutgers University,American Athletic Conference,F,5-11
1436,Rutgers University,American Athletic Conference,C,6-3
1437,Rutgers University,American Athletic Conference,G,5-9
1438,Rutgers University,American Athletic Conference,F,6-1
1439,Rutgers University,American Athletic Conference,G,5-7
1440,Rutgers University,American Athletic Conference,C,6-3
1441,Rutgers University,American Athletic Conference,G,5-7
1442,Rutgers University,American Athletic Conference,C,6-4
1443,Rutgers University,American Athletic Conference,G,5-10
1444,Rutgers University,American Athletic Conference,F,6-0
1445,Rutgers University,American Athletic Conference,G,5-7
1446,Rutgers University,American Athletic Conference,G,5-9
1447,Rutgers University,American Athletic Conference,G,5-9
1448,Robert Morris University,Northeast Conference,G,5-8
1449,Robert Morris University,Northeast Conference,G,5-9
1450,Robert Morris University,Northeast Conference,G,5-6
1451,Robert Morris University,Northeast Conference,F,6-1
1452,Robert Morris University,Northeast Conference,F,5-10
1453,Robert Morris University,Northeast Conference,G,5-10
1454,Robert Morris University,Northeast Conference,C,6-3
1455,Robert Morris University,Northeast Conference,G,5-10
1456,Robert Morris University,Northeast Conference,F,6-1
1457,Robert Morris University,Northeast Conference,C,6-3
1458,Robert Morris University,Northeast Conference,G,5-10
1459,Robert Morris University,Northeast Conference,F,6-1
1460,Robert Morris University,Northeast Conference,C,6-3
1461,Robert Morris University,Northeast Conference,G,5-9
1462,Rider University,Metro Atlantic Athletic Conference,G,5-10
1463,Rider University,Metro Atlantic Athletic Conference,C,6-1
1464,Rider University,Metro Atlantic Athletic Conference,G,5-10
1465,Rider University,Metro Atlantic Athletic Conference,F,6-3
1466,Rider University,Metro Atlantic Athletic Conference,F,6-1
1467,Rider University,Metro Atlantic Athletic Conference,G,5-9
1468,Rider University,Metro Atlantic Athletic Conference,F,6-1
1469,Rider University,Metro Atlantic Athletic Conference,G,5-9
1470,Rider University,Metro Atlantic Athletic Conference,G,5-7
1471,Rider University,Metro Atlantic Athletic Conference,G,5-10
1472,Rider University,Metro Atlantic Athletic Conference,G,5-8
1473,Rider University,Metro Atlantic Athletic Conference,F,6-1
1474,Rider University,Metro Atlantic Athletic Conference,G,5-6
1475,University of Richmond,Atlantic 10 Conference,F,6-3
1476,University of Richmond,Atlantic 10 Conference,F,6-3
1477,University of Richmond,Atlantic 10 Conference,C,6-3
1478,University of Richmond,Atlantic 10 Conference,G,5-8
1479,University of Richmond,Atlantic 10 Conference,F,6-4
1480,University of Richmond,Atlantic 10 Conference,G,5-11
1481,University of Richmond,Atlantic 10 Conference,G,5-8
1482,University of Richmond,Atlantic 10 Conference,F,6-1
1483,University of Richmond,Atlantic 10 Conference,G,5-9
1484,University of Richmond,Atlantic 10 Conference,F,6-0
1485,University of Richmond,Atlantic 10 Conference,G,5-7
1486,University of Richmond,Atlantic 10 Conference,G,5-9
1487,University of Richmond,Atlantic 10 Conference,G,5-9
1488,University of Richmond,Atlantic 10 Conference,G,5-8
1489,University of Richmond,Atlantic 10 Conference,F,6-4
1490,Rice University,Conference USA,G,5-10
1491,Rice University,Conference USA,G,5-9
1492,Rice University,Conference USA,F,6-2
1493,Rice University,Conference USA,F,6-1
1494,Rice University,Conference USA,G,5-5
1495,Rice University,Conference USA,G,5-6
1496,Rice University,Conference USA,G,5-9
1497,Rice University,Conference USA,C,6-1
1498,Rice University,Conference USA,G,5-11
1499,Rice University,Conference USA,G,5-5
1500,Rice University,Conference USA,F,6-1
1501,Rice University,Conference USA,F,6-1
1502,Rice University,Conference USA,F,6-0
1503,Rice University,Conference USA,G,5-10
1504,Rice University,Conference USA,F,6-0
1505,University of Rhode Island,Atlantic 10 Conference,G,5-10
1506,University of Rhode Island,Atlantic 10 Conference,G,5-7
1507,University of Rhode Island,Atlantic 10 Conference,G,5-9
1508,University of Rhode Island,Atlantic 10 Conference,F,6-0
1509,University of Rhode Island,Atlantic 10 Conference,G,5-10
1510,University of Rhode Island,Atlantic 10 Conference,G,5-10
1511,University of Rhode Island,Atlantic 10 Conference,F,5-11
1512,University of Rhode Island,Atlantic 10 Conference,F,6-0
1513,University of Rhode Island,Atlantic 10 Conference,F,6-3
1514,University of Rhode Island,Atlantic 10 Conference,G,5-8
1515,University of Rhode Island,Atlantic 10 Conference,F,6-3
1516,University of Rhode Island,Atlantic 10 Conference,G,5-9
1517,University of Rhode Island,Atlantic 10 Conference,G,5-11
1518,University of Rhode Island,Atlantic 10 Conference,G,5-7
1519,University of Rhode Island,Atlantic 10 Conference,G,5-5
1520,Radford University,Big South Conference,G,5-8
1521,Radford University,Big South Conference,G,5-5
1522,Radford University,Big South Conference,G,5-6
1523,Radford University,Big South Conference,F,6-1
1524,Radford University,Big South Conference,G,5-8
1525,Radford University,Big South Conference,C,6-3
1526,Radford University,Big South Conference,G,5-9
1527,Radford University,Big South Conference,G,5-9
1528,Radford University,Big South Conference,C,6-3
1529,Radford University,Big South Conference,G,5-10
1530,Radford University,Big South Conference,F,6-2
1531,Radford University,Big South Conference,F,6-0
1532,"University of Wisconsin, Madison",Big Ten Conference,G,5-10
1533,"University of Wisconsin, Madison",Big Ten Conference,F,6-0
1534,"University of Wisconsin, Madison",Big Ten Conference,G,5-10
1535,"University of Wisconsin, Madison",Big Ten Conference,F,6-3
1536,"University of Wisconsin, Madison",Big Ten Conference,C,6-4
1537,"University of Wisconsin, Madison",Big Ten Conference,F,6-1
1538,"University of Wisconsin, Madison",Big Ten Conference,F,6-2
1539,"University of Wisconsin, Madison",Big Ten Conference,C,6-4
1540,"University of Wisconsin, Madison",Big Ten Conference,F,6-1
1541,"University of Wisconsin, Madison",Big Ten Conference,G,5-7
1542,"University of Wisconsin, Madison",Big Ten Conference,G,6-0
1543,"University of Wisconsin, Madison",Big Ten Conference,C,6-4
1544,"University of Wisconsin, Madison",Big Ten Conference,G,5-9
1545,"University of Wisconsin, Madison",Big Ten Conference,G,5-8
1546,"University of Wisconsin, Madison",Big Ten Conference,F,6-1
1547,Wofford College,Southern Conference,G,5-10
1548,Wofford College,Southern Conference,G,6-0
1549,Wofford College,Southern Conference,G,5-2
1550,Wofford College,Southern Conference,F,6-2
1551,Wofford College,Southern Conference,F,6-1
1552,Wofford College,Southern Conference,F,5-11
1553,Wofford College,Southern Conference,C,6-0
1554,Wofford College,Southern Conference,F,6-2
1555,Wofford College,Southern Conference,G,5-6
1556,Wofford College,Southern Conference,G,5-5
1557,Wofford College,Southern Conference,G,5-4
1558,Wofford College,Southern Conference,G,6-1
1559,The University of Tulsa,Conference USA,G,5-9
1560,The University of Tulsa,Conference USA,C,6-2
1561,The University of Tulsa,Conference USA,G,5-11
1562,The University of Tulsa,Conference USA,G,5-8
1563,The University of Tulsa,Conference USA,G,5-11
1564,The University of Tulsa,Conference USA,G,5-7
1565,The University of Tulsa,Conference USA,C,6-2
1566,The University of Tulsa,Conference USA,G,5-6
1567,The University of Tulsa,Conference USA,F,6-1
1568,The University of Tulsa,Conference USA,F,6-2
1569,The University of Tulsa,Conference USA,G,5-11
1570,The University of Tulsa,Conference USA,G,5-4
1571,The University of Tulsa,Conference USA,G,5-9
1572,The University of Tulsa,Conference USA,F,5-11
1573,Tulane University,Conference USA,G,5-11
1574,Tulane University,Conference USA,G,5-9
1575,Tulane University,Conference USA,F,6-1
1576,Tulane University,Conference USA,C,6-2
1577,Tulane University,Conference USA,F,5-10
1578,Tulane University,Conference USA,F,6-2
1579,Tulane University,Conference USA,G,5-9
1580,Tulane University,Conference USA,G,5-8
1581,Tulane University,Conference USA,G,5-2
1582,Tulane University,Conference USA,G,5-11
1583,Tulane University,Conference USA,G,5-8
1584,Tulane University,Conference USA,C,6-3
1585,Tulane University,Conference USA,G,5-6
1586,Troy University,Sun Belt Conference,G,5-7
1587,Troy University,Sun Belt Conference,G,5-9
1588,Troy University,Sun Belt Conference,G,5-3
1589,Troy University,Sun Belt Conference,F,6-0
1590,Troy University,Sun Belt Conference,F,6-1
1591,Troy University,Sun Belt Conference,F,6-1
1592,Troy University,Sun Belt Conference,F,6-0
1593,Troy University,Sun Belt Conference,F,6-0
1594,Troy University,Sun Belt Conference,G,5-6
1595,Troy University,Sun Belt Conference,F,6-2
1596,Troy University,Sun Belt Conference,G,5-8
1597,Troy University,Sun Belt Conference,C,6-3
1598,Towson University,Colonial Athletic Association,F,6-1
1599,Towson University,Colonial Athletic Association,F,6-0
1600,Towson University,Colonial Athletic Association,G,6-0
1601,Towson University,Colonial Athletic Association,G,5-6
1602,Towson University,Colonial Athletic Association,F,6-3
1603,Towson University,Colonial Athletic Association,G,5-10
1604,Towson University,Colonial Athletic Association,F,6-1
1605,Towson University,Colonial Athletic Association,G,5-4
1606,Towson University,Colonial Athletic Association,G,5-6
1607,Towson University,Colonial Athletic Association,G,5-3
1608,Towson University,Colonial Athletic Association,F,5-10
1609,Towson University,Colonial Athletic Association,G,6-1
1610,Towson University,Colonial Athletic Association,C,6-3
1611,Towson University,Colonial Athletic Association,G,5-9
1612,Towson University,Colonial Athletic Association,G,5-6
1613,University of Toledo,Mid-American Conference,G,5-7
1614,University of Toledo,Mid-American Conference,F,6-1
1615,University of Toledo,Mid-American Conference,G,5-10
1616,University of Toledo,Mid-American Conference,F,5-10
1617,University of Toledo,Mid-American Conference,F,6-1
1618,University of Toledo,Mid-American Conference,G,5-10
1619,University of Toledo,Mid-American Conference,C,6-3
1620,University of Toledo,Mid-American Conference,F,6-0
1621,University of Toledo,Mid-American Conference,F,6-1
1622,University of Toledo,Mid-American Conference,G,6-0
1623,University of Toledo,Mid-American Conference,C,6-3
1624,University of Toledo,Mid-American Conference,G,6-1
1625,University of Toledo,Mid-American Conference,G,5-10
1626,University of Toledo,Mid-American Conference,G,5-8
1627,University of Texas-Arlington,Sun Belt Conference,F,5-9
1628,University of Texas-Arlington,Sun Belt Conference,F,6-3
1629,University of Texas-Arlington,Sun Belt Conference,G,5-7
1630,University of Texas-Arlington,Sun Belt Conference,F,6-0
1631,University of Texas-Arlington,Sun Belt Conference,G,5-10
1632,University of Texas-Arlington,Sun Belt Conference,F,6-1
1633,University of Texas-Arlington,Sun Belt Conference,G,5-9
1634,University of Texas-Arlington,Sun Belt Conference,G,5-6
1635,University of Texas-Arlington,Sun Belt Conference,G,5-7
1636,University of Texas-Arlington,Sun Belt Conference,G,5-11
1637,University of Texas-Arlington,Sun Belt Conference,F,6-1
1638,University of Texas-Arlington,Sun Belt Conference,G,5-10
1639,University of Texas-Arlington,Sun Belt Conference,C,6-5
1640,University of Texas-Arlington,Sun Belt Conference,G,5-7
1641,University of Texas-Arlington,Sun Belt Conference,G,5-7
